id,name,album,album_id,artists,explicit,danceability,duration_ms,release_date,album_year
3DN8slkRVyFPxgK0wTaCWQ,Make It Beautiful,Make it Beautiful,4kFAkwpeoq0yTSH3sHJ9mY,Sara Lee,False,0.569,273533,2000-09-12,2000
21CtfRF89Tg6eXyH7FTuaw,Homesick Blue,Gab's Lab,7j5rRf1CLBOrvqJyonAqBR,Gabriel Le Mar,False,0.674,418507,2005-03-01,2005
1hnUx6RdKeKf3zLethwS6x,Growing Up,Soundtracks for Everyday Adventures,7pSmFdRXAuDF42Zy4p0Iqf,Lullatone,False,0.642,196511,2011-10-20,2011
5V288Li6w4JBuOF8jPv3qX,You Bring Me Up - Mig's Petalpusher Vox,Jetlag - EP,788qDdss1IL2OVBLsSmmsD,"Petalpusher, Lisa Shaw",False,0.79,382827,2002-10-10,2002
7jF0BxQbIHSGlObdcrKq9q,Juarez,Split,0rIqvUlKD6akkutldwbFV0,"Xiu Xiu, The Dead Science",False,0.36,190680,2007-01-02,2007
6tV1v0xzhPJWCRCUZkJri2,Apingaut,Xyz,0PBD2LgFtdgiiEWzoK9CqV,Toni Crash,False,0.517,472713,2013-04-01,2013
5QtZLIRBPIBzMd0CUomUQ8,The Beautiful Noise,Beautiful Noise,7innGK8e68YUuDWnpDhe8u,Salim Nourallah,False,0.535,249120,2005-08-16,2005
5zE4W5K0IYd3zAUJ3Sxrpk,Rye Whiskey,A Treasury of Bluegrass and Country Songs,3BdI4nXV7oYulPgjPZfEkg,Phil Rosenthal,False,0.607,219027,2009-01-01,2009
3dG5QcHyWcoAOp1o6D0PVA,Bridge to Nowhere,"Time Travel (feat. Jon Irabagon, Matt Mitchell, Linda Oh & Rudy Royston)",4vSJFSQ3PEdTIkHACVw7cF,Dave Douglas Quintet,False,0.414,505587,2013-04-09,2013
6Okm5AfIuoUSZ5g6hKmqff,Wake Up,Wake Up - Single,2vSxO3y2D84z40mKUcSclR,Dangermaker,False,0.3939999999999999,258112,2014-02-13,2014
5thXg4I8KK8n9pJBmGEC36,Quatuor pour la fin du temps (Quartet for the End of Time): I. Liturgie de cristal (Crystal Liturgy),Messiaen: Quartet for the End of Time / Theme and Variations,1Svy84WAa3aUJwGapbiV9L,"Olivier Messiaen, Amici Ensemble",False,0.376,159027,2001-06-06,2001
4Hyveepa9fvUrd08PWMevH,The Chaos,The Chaos,7s16RV6Ry7htfX9wv7n6AB,The Futureheads,False,0.397,250056,2010-04-27,2010
1rxhAnn7mZAUwytVbBOLS3,Poinciana,At the Edge of the World,3tRwejXlLIbZB8o6PHTM1n,Aaron Goldberg,False,0.565,347804,2018-11-16,2018
4UgTGcnTVEAgZUpRhpFVmO,Street Fighter 2 - Guile's Theme,Smooth McGroove: VGM Acapella,47597nk1AcguDl6JEO3joN,Smooth McGroove,False,0.603,144000,2013-04-11,2013
3ZlgRsFtQzTCGRS1n4F8l9,Ain't Got Time,Fade to Blue,3hYexERpzCxGlW2OrxckRf,Dave Sadler,False,0.422,312000,2008-01-01,2008
4PG1lirKducGjs6ZCJQ7JF,Initiation,Warszawa,4O8wHCg7Kgm0bFZdx4RsvH,Praxis,False,0.607,1265893,2001-04-17,2001
35Vp2SiUJZrX2VHYbIO4nC,We Are Connected - Active Love,We Are Connected,16IvqEhP73ZsHY9IE7J3jQ,Jondi & Spesh,False,0.73,514235,2000-10-17,2000
4dxdrk5iPhe45Y113YgrHb,I See the Light,I See the Light,3P6TRLgxO8MB4GnL2BYWV9,The Five Americans,False,0.611,129867,1994-01-01,1994
5PGdWyR45ntXJZ6ns6CCMI,Thunupa,Sacred System Chapter Two,7KD6XLBri6DNRBYGqMfQgP,Bill Laswell,False,0.4970000000000001,814933,1997-09-27,1997
4QEuJXWHH8f6oI9pwm92wN,No Time,Let's Go,2TeYAAh3Pksb9cOQhG7dOX,The Guess Who,False,0.359,277773,2014-04-15,2014
7f2zGbGUnghatkHLiOSoRf,Pizza,Pizza,3heaSwNvzyXG35gDh1EQ2m,"Anti Up, Chris Lake, Chris Lorenzo",False,0.6990000000000001,133909,2018-06-29,2018
48ZAOmff8vjRuh5tCafwb3,Tsip Tsap,Late,2KUte0YfbCxrKLC5qsBZWM,duo505,False,0.248,326187,2004-08-23,2004
6fyZqDMFcclbIsaL7ukhWf,Sink Or Swim,Sink Or Swim,3wiN9GA56zQ7onMzmBC6sH,Tamara Silvera,False,0.598,300947,1998-01-01,1998
7wB6ziVQvaPdSt57M1CJQW,Gentle Forest,Spiritual Garden,7rJ1grlKGKPzMqbwCcYM3B,Kitaro,False,0.236,221933,2006-02-21,2006
6u7utsHIjypecz9Q6VSNxA,Freedom Suite Movement 1,Freedom Suite,1jKXRjx5ZSDUBN0vUVrHJQ,"David S. Ware, Matthew Shipp, William Parker, Guillermo E. Brown",False,0.315,425880,1998-09-30,1998
5vBRfklsRL9ittze9rpFiZ,New Britain,Full Force Galesburg,429c9crfLRTZDj6VQ7EXrM,The Mountain Goats,False,0.4429999999999999,156827,1997-06-05,1997
4E0vDJ5US8PUPYBKPt6nIK,Dandelion,Big Dream Boulevard,3Qge69RLfQqkH8ZiAhPMLu,Antje Duvekot,False,0.659,215987,2006-05-11,2006
4ueQ1Q5kV5oBaUl6zXjGvv,From the Same Fire,Welcome Home,4pwB2lnYRBCSYLCSRq5SYX,Rebecca Folsom,False,0.644,236566,1997-01-01,1997
5rZT3vLHimtz6B0jyvSlX8,THE LASTING DOSE,Sonic Excess In Its Purest Form,2vyE4fvDCuvjUZdpZRJSGz,Crowbar,False,0.275,252120,2003-02-11,2003
1hsandmi5lDA3gQHL0orC8,In the Bleak Mid-Winter,Celtic Christmas,0lZW6hr0JQoUdUCkHeUKDr,Katie McMahon,False,0.246,188800,2003-01-01,2003
7LCjXJX5nYKcaxBV5NaSCl,The River,Songs from Black Mountain,5OrfSQwSNYVDVGBBdJ0LAN,Live,False,0.411,178547,2006-04-12,2006
409DkjFaerzjuP7yo7ZsKg,On Your Shore,On Your Shore,4azwQskqRbcF2yUske9S7q,Charlotte Martin,False,0.5720000000000001,240427,2004-06-28,2004
3ASST7i9Tphblxoqcu5vAa,Salta Più Alto,Passeggeri Distratti,1G5HAUeJcdkHTI5DdEVMK1,Raf,False,0.64,196067,2006-05-26,2006
77FS7uZilhM8oQ97ihs9yi,Boomerang,Counterfeit,4OzVQ5wo9IBlaTCeuzaZeH,CIRRUS,False,0.491,357781,2002-01-01,2002
1qNWvoGQ6uEwdV8MQa9DdZ,I Don't Have A Drum Machine,I Don't Have A Drum Machine,07IrH7BvlbBhFNbznJYYTW,Yuksek,False,0.871,335540,2019-02-22,2019
5IQOIR81jmC44yVePnhbuR,Intro,Live At The El Rey,4Tfch73IjzG0P0ZgYuvLgG,Collide,False,0.1689999999999999,125200,2005-01-01,2005
4zdv1340hbwA3FFm6AfVi8,Pop Pop V.I.P.,Degenerate,3IrmzqQrAOTWeDfZfeT5fb,Vex'd,False,0.5429999999999999,415373,2005-07-18,2005
1srv8eTEjCAIYdolDK1Gzq,Heavily Sedated NOW!,Travel Lodge,4Kt8tS5FJ2579hkgLKADqE,Cowboy Flying Saucer,False,0.506,211441,2019-04-05,2019
43c7TVpcNzxQc5dIFj9ijB,The Kiss - Jesse Perez Remix,The Kiss / Need,6FIhPQOjyfdM3wbjaqXcAn,"Ellen Allien, Jesse Perez",False,0.72,419117,2013-05-24,2013
0YKiIsMr9SVDN98QjCqvOh,Troubled Times,Elementary Headcoats,1Gb34UQqC82XIwviDDZAjC,Thee Headcoats,False,0.589,144347,1996-08-13,1996
6MMnrDLlF4ZvUWah6roEZS,My Brooke,unwind - solo piano music,7GHo6Z4i8VMjwQntTTnyjv,Louis Landon,False,0.455,320400,2005-01-01,2005
